artist_id,canonical_name,aliases_json,source,updated_at,is_enabled,ticketjam_watch,ticketjam_benchmark_tier,ticketjam_watch_reason
wd:Q12606736,A*Sia,[],wikidata,2026-05-01,1,0,,
wd:Q110115741,A-Chess,[],wikidata,2026-05-01,1,0,,
wd:Q134518945,A-Daily,[],wikidata,2026-05-01,1,0,,
wd:Q134281304,A-Force,[],wikidata,2026-02-24,1,0,,
wd:Q492271,A-Jax,"[""A-JAX"", ""DSP Boyz"", ""에이젝스 E i Jeg Seu""]",wikidata,2026-02-24,1,0,,
wd:Q13761546,A-Prince,[],wikidata,2026-02-24,1,0,,
wd:Q127579653,A-Young,[],wikidata,2026-05-01,1,0,,
wd:Q131932325,A-na,"[""Yuna"", ""유나"", ""No Yuna"", ""Roh Yu-na"", ""노유나""]",wikidata,2026-05-01,1,0,,
wd:Q30236860,A.C.E (韓国の音楽グループ),"[""ACE"", ""에이스"", ""A.C.E""]",wikidata,2026-02-24,1,0,,
wd:Q626224,A.S. Red & Blue,"[""A.S. Blue"", ""A.S. RED"", ""AS Blue"", ""AS RED"", ""애프터스쿨 Blue"", ""애프터스쿨 Red"", ""애프터스쿨 레드"", ""애프터스쿨 블루"", ""에이에스레드"", ""에이에스블루""]",wikidata,2026-05-01,1,0,,
wd:Q79904172,A.Y,[],wikidata,2026-05-01,1,0,,
wd:Q24856806,A.cian,[],wikidata,2026-02-24,1,0,,
wd:Q97339179,A6P,[],wikidata,2026-02-24,1,0,,
wd:Q5299644,AA,"[""Double-A""]",wikidata,2026-02-24,1,0,,
wd:Q55726614,AA (음악 그룹),[],wikidata,2026-05-01,1,0,,
wd:Q63852480,AB6IX,"[""에이비식스""]",wikidata,2026-02-24,1,0,,
wd:Q120335687,ABLUE,[],wikidata,2026-05-01,1,0,,
wd:Q20943919,ABTB,"[""Attraction Between Two Bodies""]",wikidata,2026-05-01,1,0,,
wd:Q110115836,ADHD,[],wikidata,2026-05-01,1,0,,
wd:Q96216968,ADOY,[],wikidata,2026-05-01,1,0,,
wd:Q118279302,ADYA,[],wikidata,2026-02-24,1,0,,
wd:Q12580699,AEV,"[""AEV the Piano Man""]",wikidata,2026-05-01,1,0,,
wd:Q127856720,AFOS,[],wikidata,2026-05-01,1,0,,
wd:Q389067,AFTERSCHOOL,"[""アフタースクール"", ""AFTER SCHOOL"", ""애프터 스쿨""]",wikidata,2026-02-24,1,0,,
wd:Q98082878,AHAN,"[""Woo Ahan"", ""우아한""]",wikidata,2026-05-01,1,0,,
wd:Q135181578,AHOF,"[""All-Time Hall of Famer""]",wikidata,2026-02-24,1,0,,
wd:Q117435403,AIMERS,[],wikidata,2026-02-24,1,0,,
wd:Q131936839,AIN,"[""김나연"", ""Kim Na-yeon""]",wikidata,2026-05-01,1,0,,
wd:Q17682969,AJ,"[""에이제이""]",wikidata,2026-05-01,1,0,,
wd:Q16726527,AKT,[],wikidata,2026-05-01,1,0,,
wd:Q41498343,AL,[],wikidata,2026-02-24,1,0,,
wd:Q113016473,ALDL,"[""ALDL (group)""]",wikidata,2026-02-24,1,0,,
wd:Q117434989,ALEPH,[],wikidata,2026-05-01,1,0,,
wd:Q133873463,ALL OURS,[],wikidata,2026-02-24,1,0,,
wd:Q125201025,ALL(H)OURS,[],wikidata,2026-02-24,1,0,,
wd:Q134986635,ALLDAY PROJECT,"[""올데프""]",wikidata,2026-02-24,1,0,,
wd:Q136378026,ALPHA DRIVE ONE,"[""ALD1""]",wikidata,2026-02-24,1,0,,
wd:Q4724515,ALi,"[""Ali"", ""Jo Young-jin"", ""Young Jin Cho"", ""Cho Young-jin"", ""Cho Youngjin"", ""Jo Young Jin"", ""Jo Youngjin"", ""Young Jin Jo"", ""Young-jin Cho"", ""Young-jin Jo"", ""Youngjin Cho"", ""Youngjin Jo""]",wikidata,2026-05-01,1,0,,
wd:Q136771620,AM8IC,"[""Am8ic""]",wikidata,2026-05-01,1,0,,
wd:Q123458788,AMPERS&ONE,"[""Ampersandone"", ""Ampies""]",wikidata,2026-02-24,1,0,,
wd:Q73795501,ANS,"[""Angels N Soul""]",wikidata,2026-02-24,1,0,,
wd:Q492035,AOA,"[""Ace of Angels"", ""A.O.A."", ""AOAブラック"", ""AOAホワイト"", ""エーオーエー"", ""As de Ángeles"", ""에이 오 에이"", ""에이오 에이""]",wikidata,2026-02-24,1,0,,
wd:Q24282630,AOA Black,[],wikidata,2026-02-24,1,0,,
wd:Q22971677,AOAクリーム,[],wikidata,2026-02-24,1,0,,
wd:Q85970938,API,"[""홀리데이"", ""Ho1iday""]",wikidata,2026-02-24,1,0,,
wd:Q20858387,APRIL,"[""エイプリル""]",wikidata,2026-02-24,1,0,,
wd:Q65234408,AQUINAS,"[""Aquinas"", ""Kang Min-soo"", ""아퀴나스""]",wikidata,2026-05-01,1,0,,
wd:Q110105452,AREAL,[],wikidata,2026-05-01,1,0,,
wd:Q24834268,ARIAZ,"[""Empire Girls"", ""アリアズ""]",wikidata,2026-02-24,1,0,,
wd:Q119692734,ARTMS,"[""Artemis"", ""Artms"", ""ARTMS Strategy"", ""아르테미스""]",wikidata,2026-05-01,1,0,,
wd:Q129599223,ARrC,[],wikidata,2026-02-24,1,0,,
wd:Q125200754,ASC2NT,[],wikidata,2026-05-01,1,0,,
wd:Q63137609,ASTIN,[],wikidata,2026-05-01,1,0,,
wd:Q23004252,ASTRO,"[""아스트로""]",wikidata,2026-02-24,1,0,,
wd:Q112972232,ATBO,[],wikidata,2026-02-24,1,0,,
wd:Q59793088,ATEEZ,"[""KQ Fellaz"", ""에이티즈"", ""エイティーズ"", ""Ateez""]",wikidata,2026-02-24,1,0,,
wd:Q131623385,ATLET,"[""최범수""]",wikidata,2026-05-01,1,0,,
wd:Q117435018,AUX,[],wikidata,2026-05-01,1,0,,
wd:Q65052742,AWEEK,[],wikidata,2026-02-24,1,0,,
wd:Q12606775,AXIZ,[],wikidata,2026-05-01,1,0,,
wd:Q6875124,Ab avenue,"[""Abavenue""]",wikidata,2026-05-01,1,0,,
wd:Q22974461,Able,[],wikidata,2026-02-24,1,0,,
wd:Q130546361,Ablume,"[""ablume"", ""어블룸""]",wikidata,2026-02-24,1,0,,
wd:Q124961362,Absint,[],wikidata,2026-05-01,1,0,,
wd:Q12605425,Achime,[],wikidata,2026-05-01,1,0,,
wd:Q115857924,Acid Angel from Asia,[],wikidata,2026-05-01,1,0,,
wd:Q133873440,Acid Eyes,[],wikidata,2026-05-01,1,0,,
wd:Q16097507,Acoustic Collabo,[],wikidata,2026-05-01,1,0,,
wd:Q16173759,Addsp2ch,[],wikidata,2026-05-01,1,0,,
wd:Q109883832,Adora,"[""박수현"", ""ADORA""]",wikidata,2026-05-01,1,0,,
wd:Q12606741,Aeizoku,"[""에이족""]",wikidata,2026-05-01,1,0,,
wd:Q43111145,Ahin,"[""Lee Ah-in"", ""이아인""]",wikidata,2026-02-24,1,0,,
wd:Q110115614,Ahn Byeong-woong,[],wikidata,2026-05-01,1,0,,
wd:Q77266855,Ahn Cho-yoon,[],wikidata,2026-05-01,1,0,,
wd:Q28408492,Ahn Eun-jin,"[""Eunjin"", ""은진""]",wikidata,2026-02-24,1,0,,
wd:Q63791524,Ahn Han-byeol,"[""한별"", ""HanByeol""]",wikidata,2026-02-24,1,0,,
wd:Q12605785,Ahn Ik-jo,[],wikidata,2026-05-01,1,0,,
wd:Q55731658,Ahn Jun-ha,[],wikidata,2026-05-01,1,0,,
wd:Q12605646,Ahn Moon-sook,[],wikidata,2026-05-01,1,0,,
wd:Q27953210,Ahn Seon-young,[],wikidata,2026-05-01,1,0,,
wd:Q43111153,Ahn Shin Ae,[],wikidata,2026-05-01,1,0,,
wd:Q60693885,Ahn Sojin,[],wikidata,2026-05-01,1,0,,
wd:Q30921037,Ahn Som-yi,"[""솜이"", ""Somyi""]",wikidata,2026-02-24,1,0,,
wd:Q845628,Ahn Trio,[],wikidata,2026-05-01,1,0,,
wd:Q24541442,Ahn Ye-eun,"[""An Ye-eun""]",wikidata,2026-05-01,1,0,,
wd:Q123560890,Ahyeon,"[""Jeong A-yeon"", ""Jeong Ayeon"", ""Jung Ah-yeon"", ""정아현""]",wikidata,2026-05-01,1,0,,
wd:Q111802847,Ain Yoon,[],wikidata,2026-05-01,1,0,,
wd:Q28555305,Aiobahn,"[""キム・ミンヒョク"", ""DJ Nijinoyume"", ""Kim Min-Hyuk"", ""DJ 虹野ゆめ"", ""アイオバーン"", ""Aiobahn +81""]",wikidata,2026-05-01,1,0,,
wd:Q122924239,Airy,[],wikidata,2026-05-01,1,0,,
wd:Q79404635,Aivan,"[""이요한"", ""Lee Yo-han"", ""AIVAN""]",wikidata,2026-05-01,1,0,,
wd:Q413143,Ajoo,[],wikidata,2026-05-01,1,0,,
wd:Q16019704,Alan Heyman,"[""Alan Charles Heyman""]",wikidata,2026-05-01,1,0,,
wd:Q15890941,Albertina Eunju Song,[],wikidata,2026-05-01,1,0,,
wd:Q93132814,AleXa,"[""アレクサ"", ""Alex Christine"", ""Alexaundra Christine Schneiderman"", ""Kim Seri"", ""アレックス・クリスティーン"", ""알렉스 크리스틴""]",wikidata,2026-02-24,1,0,,
wd:Q16730846,Alfred Kim,"[""Jae-Hyoung Kim""]",wikidata,2026-05-01,1,0,,
wd:Q16226493,Alice,"[""Song Joo-hee"", ""송주희""]",wikidata,2026-02-24,1,0,,
wd:Q85872594,Alice White,[],wikidata,2026-02-24,1,0,,
wd:Q56248946,Alicks,"[""A L E X""]",wikidata,2026-05-01,1,0,,
wd:Q16097568,All Black,[],wikidata,2026-05-01,1,0,,
wd:Q16182079,All Lise Band,[],wikidata,2026-05-01,1,0,,
wd:Q18381188,Almeng,"[""Almaeng"", ""알맹""]",wikidata,2026-02-24,1,0,,
wd:Q16097465,AlphaBat,[],wikidata,2026-02-24,1,0,,
wd:Q131921983,AltoDZI,"[""Brian Lee""]",wikidata,2026-05-01,1,0,,
wd:Q12605203,Amado Lee Jaram Band,"[""아마도이자람밴드""]",wikidata,2026-05-01,1,0,,
wd:Q97203528,Amira Chun,[],wikidata,2026-05-01,1,0,,
wd:Q12605856,An Chi-hwan,[],wikidata,2026-05-01,1,0,,
wd:Q12605898,An Heung-chan,[],wikidata,2026-05-01,1,0,,
wd:Q15448029,An Jin Kyoung,[],wikidata,2026-05-01,1,0,,
wd:Q22323725,An Ye-seul,[],wikidata,2026-02-24,1,0,,
wd:Q110115563,Anandelight,[],wikidata,2026-05-01,1,0,,
wd:Q12605581,Anda,"[""ANDA"", ""Andamiro"", ""Min Ji Won"", ""Min-ji Won"", ""Minji Won"", ""Won MIn Ji"", ""Won Min-ji"", ""Won Minji"", ""안다 (가수)""]",wikidata,2026-02-24,1,0,,
wd:Q12606056,Andup,[],wikidata,2026-05-01,1,0,,
